Label,Average,1,2,3,4
ALL,0.8640883638583464,0.8802267798518284,0.8903890816661342,0.8557531000633731,0.82998449385205
B-Alinea,0.8647787966536717,0.8529839883551674,0.8575803981623277,0.861952861952862,0.88659793814433
B-Amendement,0.692857142857143,0.8,0.8,0.6,0.5714285714285715
B-Article,0.9597410744004184,0.9747292418772563,0.9422492401215806,0.9645390070921985,0.9574468085106383
B-Chapitre,0.9176113360323886,0.9473684210526316,0.923076923076923,1.0,0.7999999999999999
B-Liste,0.9488989441003463,0.9289617486338798,0.9602053915275994,0.9719626168224299,0.9344660194174756
B-Pied,0.998062015503876,1.0,1.0,1.0,0.9922480620155039
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,0.26653934300993126,0.3636363636363636,0.47058823529411764,0.11428571428571427,0.1176470588235294
B-Tete,0.9919577360522243,1.0,1.0,0.9914529914529915,0.9763779527559054
B-Titre,0.8645256138318117,0.8148148148148148,0.8405797101449275,0.909090909090909,0.8936170212765958
