Label         ,Average            ,1                  ,2                  ,3                  ,4
ALL           ,0.9528054480555026 ,0.9443707841783304 ,0.9355881203644966 ,0.9675140734822226 ,0.9637488141969608
B-Alinea      ,0.907660927674018  ,0.8954758190327613 ,0.8906249999999999 ,0.923076923076923  ,0.9214659685863874
B-Amendement  ,0.9019607843137255 ,0.9411764705882353 ,0.6666666666666666 ,1.0                ,1.0
B-Article     ,0.9390394414135069 ,0.9712230215827339 ,0.912912912912913  ,0.96113074204947   ,0.9108910891089109
B-Chapitre    ,0.9586834733893557 ,0.9523809523809523 ,1.0                ,0.9411764705882353 ,0.9411764705882353
B-Liste       ,0.9388611754894972 ,0.9244288224956063 ,0.9462647444298821 ,0.9300911854103343 ,0.9546599496221662
B-Pied        ,0.986              ,0.944              ,1.0                ,1.0                ,1.0
B-Section     ,0.9939024390243902 ,0.975609756097561  ,1.0                ,1.0                ,1.0
B-SousSection ,0.99               ,1.0                ,1.0                ,1.0                ,0.9600000000000001
B-TOC         ,0.9833333333333334 ,1.0                ,1.0                ,0.9333333333333333 ,1.0
B-Tete        ,1.0                ,1.0                ,1.0                ,1.0                ,1.0
B-Titre       ,0.8814183539727019 ,0.7837837837837838 ,0.8749999999999999 ,0.9538461538461539 ,0.9130434782608695
