Label         ,Average            ,1                  ,2                  ,3                  ,4
ALL           ,0.921756409214672  ,0.9256273583110819 ,0.9268549155123851 ,0.911478795900051  ,0.9230645671351702
B-Alinea      ,0.903269699540131  ,0.8865030674846627 ,0.8909370199692781 ,0.9084628670120898 ,0.9271758436944937
B-Amendement  ,0.7892156862745098 ,0.823529411764706  ,0.6666666666666666 ,1.0                ,0.6666666666666666
B-Article     ,0.9356208096821363 ,0.9574468085106385 ,0.9117647058823528 ,0.9574468085106383 ,0.9158249158249159
B-Chapitre    ,0.8975998820580864 ,0.9523809523809523 ,0.9600000000000001 ,0.7368421052631579 ,0.9411764705882353
B-Liste       ,0.9351034255158583 ,0.9290780141843972 ,0.93573264781491   ,0.9325337331334334 ,0.943069306930693
B-Pied        ,0.9678635175888426 ,0.9291338582677166 ,0.9818181818181818 ,0.9682539682539683 ,0.9922480620155039
B-Section     ,0.9928571428571429 ,1.0                ,1.0                ,1.0                ,0.9714285714285714
B-SousSection ,0.95875            ,0.8750000000000001 ,1.0                ,1.0                ,0.9600000000000001
B-TOC         ,0.8766025641025641 ,1.0                ,1.0                ,0.5833333333333334 ,0.923076923076923
B-Tete        ,0.9977477477477477 ,0.9909909909909909 ,1.0                ,1.0                ,1.0
B-Titre       ,0.8846900259943739 ,0.8378378378378377 ,0.8484848484848485 ,0.9393939393939393 ,0.9130434782608695
