Label,Average,1,2,3,4
ALL,0.9661268488458705,0.9561894132098413,0.9580441254787011,0.975640623556723,0.9746332331382165
B-Alinea,0.9099357510546372,0.8875739644970414,0.8925081433224755,0.9038785834738617,0.95578231292517
B-Article,0.9523365483304717,0.9642857142857143,0.9056603773584906,0.9679715302491103,0.9714285714285714
B-Chapitre,0.9603174603174603,0.9523809523809523,1.0,1.0,0.8888888888888888
B-Liste,0.9538614136013935,0.9544626593806922,0.9460154241645244,0.9614791987673343,0.9534883720930233
B-Pied,0.9978991596638656,0.9915966386554622,1.0,1.0,1.0
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,0.9868421052631579,1.0,0.9473684210526315,1.0,1.0
B-TOC,1.0,1.0,1.0,1.0,1.0
B-Tete,1.0,1.0,1.0,1.0,1.0
B-Titre,0.9000760502277185,0.8115942028985508,0.8888888888888888,0.9230769230769231,0.9767441860465116
