Label,Average,1,2,3,4
ALL,0.9671078096914679,0.955400112262495,0.9624937690612747,0.9766608196959942,0.9738765377461078
B-Alinea,0.9223419912349958,0.8902077151335311,0.9030206677265501,0.9324090121317158,0.9637305699481865
B-Article,0.9529963237907461,0.967741935483871,0.9046153846153846,0.9750889679715302,0.9645390070921985
B-Chapitre,0.973389355742297,0.9523809523809523,1.0,1.0,0.9411764705882353
B-Liste,0.958243072420498,0.9527272727272728,0.9520103761348897,0.97339593114241,0.9548387096774194
B-Pied,0.9938247273682828,0.9830508474576272,1.0,1.0,0.9922480620155039
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,0.9833333333333334,1.0,1.0,0.9333333333333333,1.0
B-Tete,0.9933205632817284,0.990990990990991,0.9902912621359223,1.0,0.992
B-Titre,0.8936287297427978,0.8169014084507042,0.875,0.9523809523809523,0.9302325581395349
