Label,Average,1,2,3,4
ALL,0.9656498317031621,0.9685214091637089,0.9692879560109617,0.9848659296769924,0.9399240319609854
B-Alinea,0.9089358822917317,0.9020771513353115,0.9,0.9326424870466321,0.9010238907849829
B-Article,0.9502766278474779,0.9637681159420289,0.9245283018867925,0.9781021897810219,0.9347079037800687
B-Chapitre,0.9852941176470589,1.0,1.0,1.0,0.9411764705882353
B-Liste,0.9576898112948766,0.9582577132486388,0.9503184713375796,0.9701726844583988,0.9520103761348897
B-Pied,1.0,1.0,1.0,1.0,1.0
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,0.9423076923076923,1.0,1.0,1.0,0.7692307692307693
B-Tete,0.998,1.0,1.0,1.0,0.992
B-Titre,0.9139941856427843,0.8611111111111112,0.9180327868852459,0.967741935483871,0.9090909090909091
