Label,Average,1,2,3,4
ALL,0.9688873852418705,0.9682799556934197,0.9688851688799627,0.9824378188649863,0.9559465975291133
B-Alinea,0.9129206519748702,0.9034175334323923,0.8931419457735247,0.9347079037800687,0.9204152249134948
B-Article,0.945516803947331,0.9672727272727273,0.9182389937106918,0.967741935483871,0.9288135593220339
B-Chapitre,0.9852941176470589,1.0,1.0,1.0,0.9411764705882353
B-Liste,0.9564456677561857,0.9509981851179673,0.9538461538461539,0.9541864139020537,0.9667519181585678
B-Pied,1.0,1.0,1.0,1.0,1.0
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,0.9772727272727273,1.0,1.0,1.0,0.9090909090909091
B-Tete,0.9936045615657266,1.0,0.9902912621359223,1.0,0.9841269841269841
B-Titre,0.9178193222548061,0.8611111111111112,0.9333333333333333,0.967741935483871,0.9090909090909091
