Label,Average,1,2,3,4
ALL,0.9790084242360534,0.976831269718831,0.9795647459890418,0.9791939763624529,0.980443704873888
B-Alinea,0.9460284595200074,0.9457364341085271,0.9270664505672609,0.9488536155202821,0.962457337883959
B-Article,0.9655730394595016,0.9714285714285714,0.9512195121951219,0.9712230215827338,0.968421052631579
B-Chapitre,0.9852941176470589,1.0,1.0,1.0,0.9411764705882353
B-Liste,0.9683048400165145,0.9803220035778175,0.9649805447470817,0.9733124018838305,0.9546044098573282
B-Pied,1.0,1.0,1.0,1.0,1.0
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,1.0,1.0,1.0,1.0,1.0
B-Tete,0.9977064220183487,0.9908256880733946,1.0,1.0,1.0
B-Titre,0.9271773636991029,0.88,0.9523809523809523,0.8985507246376812,0.9777777777777777
