Label,Average,1,2,3,4
ALL,0.9779648995021255,0.9702255669106528,0.9793622172043346,0.9811840537028479,0.981087760190667
B-Alinea,0.939854357899275,0.9200603318250377,0.9248366013071896,0.9451327433628318,0.9693877551020408
B-Article,0.9639873970720604,0.9543859649122807,0.9515151515151515,0.9784172661870504,0.9716312056737588
B-Chapitre,0.9852941176470589,1.0,1.0,1.0,0.9411764705882353
B-Liste,0.9692246784149509,0.9768270944741533,0.9648894668400521,0.9765258215962441,0.958656330749354
B-Pied,0.9959958998013967,0.9917355371900827,1.0,1.0,0.9922480620155039
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,1.0,1.0,1.0,1.0,1.0
B-Tete,0.9977064220183487,0.9908256880733946,1.0,1.0,1.0
B-Titre,0.9275861221681655,0.868421052631579,0.9523809523809523,0.9117647058823529,0.9777777777777777
