Label,Average,1,2,3,4
ALL,0.9662550932805561,0.960151948640956,0.961853688956564,0.9828914414759019,0.9601232940488025
B-Alinea,0.9162071944570824,0.8975903614457831,0.9001584786053882,0.9215017064846417,0.9455782312925171
B-Article,0.9563032723799065,0.9675090252707581,0.9113149847094801,0.9858156028368794,0.9605734767025089
B-Chapitre,0.9852941176470589,1.0,1.0,1.0,0.9411764705882353
B-Liste,0.9537197068172453,0.9422382671480144,0.9546044098573282,0.9699842022116903,0.948051948051948
B-Pied,0.9938669015993494,0.9915966386554622,1.0,0.9838709677419355,1.0
B-Section,0.9928571428571429,1.0,1.0,1.0,0.9714285714285714
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,0.9772727272727273,1.0,1.0,1.0,0.9090909090909091
B-Tete,0.9957477477477478,0.990990990990991,1.0,1.0,0.992
B-Titre,0.8912821220272995,0.8115942028985508,0.8524590163934426,0.967741935483871,0.9333333333333333
