Label,Average,1,2,3,4
ALL,0.9650352154028913,0.9613486506108206,0.9624513827207775,0.9842132322766364,0.9521275960033305
B-Alinea,0.9221301382512752,0.9090909090909091,0.9059011164274322,0.9507042253521126,0.922824302134647
B-Article,0.9564562397142855,0.9605734767025089,0.9113149847094801,0.9928057553956835,0.9611307420494699
B-Chapitre,0.96875,1.0,1.0,1.0,0.875
B-Liste,0.9576632368320652,0.9496402877697842,0.9548387096774194,0.9779874213836478,0.9481865284974094
B-Pied,0.9978991596638656,0.9915966386554622,1.0,1.0,1.0
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,0.9772727272727273,1.0,1.0,1.0,0.9090909090909091
B-Tete,0.9957477477477478,0.990990990990991,1.0,1.0,0.992
B-Titre,0.8744329045469459,0.8115942028985508,0.8524590163934426,0.9206349206349206,0.9130434782608695
