Label,Average,1,2,3,4
ALL,0.967743108949386,0.955122827568507,0.9698515441722028,0.9796042190814803,0.9663938449753539
B-Alinea,0.910045465151633,0.8837209302325582,0.9090909090909091,0.9347826086956522,0.9125874125874126
B-Amendement,0.9833333333333334,0.9333333333333333,1.0,1.0,1.0
B-Article,0.9498016001750981,0.9747292418772563,0.926829268292683,0.9750889679715302,0.9225589225589226
B-Chapitre,0.9852941176470589,1.0,1.0,1.0,0.9411764705882353
B-Liste,0.9541787910250492,0.9511754068716094,0.9574468085106383,0.959375,0.9487179487179487
B-Pied,0.9939286548425382,0.9915966386554622,1.0,0.991869918699187,0.9922480620155039
B-Section,0.9939024390243902,0.975609756097561,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,1.0,1.0,1.0,1.0,1.0
B-Tete,0.9956109956109956,0.990990990990991,1.0,0.9914529914529915,1.0
B-Titre,0.8790788016331496,0.8051948051948052,0.875,0.9230769230769231,0.9130434782608695
