Label,Average,1,2,3,4
ALL,0.9474762975400665,0.9296174800277487,0.9366886252548838,0.9571080567275633,0.9664910281500699
B-Alinea,0.9102929546457862,0.9171779141104295,0.9070866141732283,0.9137931034482759,0.903114186851211
B-Amendement,0.7833333333333333,0.6666666666666666,0.6666666666666666,0.8,1.0
B-Article,0.9410220811711187,0.9611307420494699,0.9194029850746268,0.9708029197080292,0.912751677852349
B-Chapitre,0.9852941176470589,1.0,1.0,1.0,0.9411764705882353
B-Liste,0.9499446966589913,0.9458483754512635,0.955026455026455,0.9578783151326054,0.941025641025641
B-Pied,0.9978991596638656,0.9915966386554622,1.0,1.0,1.0
B-Section,0.9880952380952381,0.9523809523809523,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,1.0,1.0,1.0,1.0,1.0
B-Tete,0.992845786963434,0.990990990990991,0.9803921568627451,1.0,1.0
B-Titre,0.8735119047619049,0.8,0.875,0.8857142857142857,0.9333333333333333
