Label,Average,1,2,3,4
ALL,0.9148962919895147,0.9071376536847429,0.897940476251681,0.9267968031676219,0.927710234854013
B-Alinea,0.8820335889184097,0.915625,0.8612903225806452,0.8993055555555556,0.8519134775374376
B-Amendement,0.7030303030303029,0.5454545454545454,0.6666666666666666,0.8,0.8
B-Article,0.9082598441369512,0.951048951048951,0.8463949843260188,0.935251798561151,0.9003436426116839
B-Chapitre,0.8646135265700483,0.9,0.8695652173913043,0.8,0.8888888888888888
B-Liste,0.9381939273461797,0.925476603119584,0.9340232858990944,0.9556962025316456,0.9375796178343949
B-Pied,0.9958333333333333,0.9833333333333333,1.0,1.0,1.0
B-Section,0.9712171052631579,1.0,0.9375,0.9473684210526315,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,1.0,1.0,1.0,1.0,1.0
B-Tete,1.0,1.0,1.0,1.0,1.0
B-Titre,0.8006775832862789,0.7575757575757576,0.7619047619047619,0.8571428571428571,0.8260869565217391
