Label,Average,1,2,3,4
ALL,0.8145222807839478,0.909308156772881,0.7597852324880261,0.7907826482653345,0.7982130856095497
B-Alinea,0.8418806319372686,0.8787185354691075,0.8168067226890756,0.8265162200282088,0.8454810495626822
B-Amendement,0.7113095238095237,0.8571428571428571,0.6666666666666666,0.5714285714285714,0.75
B-Article,0.8927843169243462,0.9226519337016574,0.8936170212765957,0.8211143695014663,0.9337539432176656
B-Chapitre,0.7493872549019608,0.7777777777777778,0.625,0.8888888888888888,0.7058823529411765
B-Liste,0.915822978326622,0.9501525940996948,0.8784440842787682,0.9377880184331797,0.8969072164948454
B-Pied,0.9630181232912955,0.9793103448275862,0.9855072463768116,0.9166666666666666,0.9705882352941176
B-Section,0.9311749105216123,0.972972972972973,0.9411764705882353,0.8837209302325582,0.926829268292683
B-SousSection,0.6562482595377331,0.9629629629629629,0.5263157894736842,0.85,0.2857142857142857
B-TOC,0.6885302197802198,1.0,0.3076923076923077,0.5714285714285714,0.875
B-Tete,0.9905502798186813,0.9923664122137404,0.993006993006993,0.9927007299270073,0.9841269841269841
B-Titre,0.6190385897741625,0.7083333333333334,0.723404255319149,0.4383561643835616,0.6060606060606061
