Label,Average,1,2,3,4
ALL,0.9212671500270897,0.917958111735071,0.9066779343826403,0.9434621398015769,0.9169704141890705
B-Alinea,0.8966805316642352,0.9302325581395349,0.8640275387263339,0.8898071625344353,0.9026548672566371
B-Amendement,0.8333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0
B-Article,0.9164750125659329,0.947945205479452,0.9411764705882353,0.8259587020648967,0.9508196721311475
B-Chapitre,0.9086021505376344,0.9166666666666666,0.8333333333333334,0.967741935483871,0.9166666666666666
B-Liste,0.9339729971257746,0.9608826479438315,0.8941548183254344,0.9448275862068966,0.936026936026936
B-Pied,0.9894093004764333,0.9790209790209791,1.0,0.9859154929577465,0.9927007299270073
B-Section,0.9723707664884136,0.9090909090909091,0.9803921568627451,1.0,1.0
B-SousSection,0.8997417812072984,0.9655172413793104,0.9090909090909091,0.9743589743589743,0.75
B-TOC,0.9852941176470589,1.0,1.0,1.0,0.9411764705882353
B-Tete,0.998062015503876,0.9922480620155039,1.0,1.0,1.0
B-Titre,0.7999966437479958,0.8292682926829268,0.8846153846153846,0.7894736842105263,0.6966292134831461
