Label,Average,1,2,3,4
ALL,0.95682911612479,0.9369747148704523,0.9617812386556573,0.9721231365740607,0.9564373743989898
B-Alinea,0.8974202772775276,0.9052631578947369,0.8868217054263566,0.8991452991452992,0.8984509466437177
B-Amendement,0.9423076923076923,0.7692307692307693,1.0,1.0,1.0
B-Article,0.9395149231656439,0.9577464788732394,0.9272727272727272,0.9602888086642599,0.912751677852349
B-Chapitre,0.9752941176470589,1.0,0.96,1.0,0.9411764705882353
B-Liste,0.929931750682567,0.9307282415630551,0.9345314505776636,0.9221556886227545,0.9323116219667944
B-Pied,0.9958333333333333,0.9833333333333333,1.0,1.0,1.0
B-Section,0.9939024390243902,0.975609756097561,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,0.9807692307692308,1.0,1.0,1.0,0.9230769230769231
B-Tete,1.0,1.0,1.0,1.0,1.0
B-Titre,0.8701465131652462,0.7848101265822784,0.8709677419354839,0.9117647058823529,0.9130434782608695
