Label,Average,1,2,3,4
ALL,0.9228991412582283,0.9351373638712567,0.9320373390726875,0.9463733632156752,0.8780484988732936
B-Alinea,0.8780629587790304,0.9022379269729093,0.8600337268128162,0.8797736916548797,0.8702064896755162
B-Amendement,0.9226190476190477,0.8571428571428571,1.0,1.0,0.8333333333333334
B-Article,0.9232008367213541,0.9201101928374655,0.9602446483180428,0.8757396449704142,0.9367088607594937
B-Chapitre,0.9302641802641802,1.0,0.9230769230769231,0.8888888888888888,0.9090909090909091
B-Liste,0.9307855532301152,0.959122632103689,0.8909952606635071,0.9427917620137299,0.9302325581395349
B-Pied,0.9717681272029097,0.9790209790209791,0.9925925925925926,0.9444444444444444,0.9710144927536232
B-Section,0.97765617875057,1.0,0.9803921568627451,1.0,0.9302325581395349
B-SousSection,0.9523603582823973,0.9655172413793104,0.8695652173913043,0.9743589743589743,1.0
B-TOC,0.9285714285714286,1.0,1.0,1.0,0.7142857142857143
B-Tete,0.996062015503876,0.9922480620155039,1.0,1.0,0.992
B-Titre,0.7405398689156029,0.7111111111111111,0.7755102040816326,0.9041095890410958,0.5714285714285714
