Label,Average,1,2,3,4
ALL,0.8493905390173324,0.8566122658517166,0.8343270725845848,0.9137987414160912,0.7928240762169371
B-Titre,0.7045138888888889,0.7555555555555555,0.6666666666666666,0.8333333333333334,0.5625
B-Tete,0.9886742511220123,0.9846153846153847,0.993006993006993,0.9850746268656716,0.992
B-TOC,0.6903846153846154,0.75,0.75,0.8,0.46153846153846156
B-Pied,0.9505497271895941,0.9859154929577465,0.9133858267716536,0.9635036496350365,0.9393939393939394
B-Chapitre,0.8721485411140584,0.8,0.9230769230769231,0.9655172413793104,0.8
B-Section,0.9771441972661485,0.9714285714285714,0.9615384615384616,0.975609756097561,1.0
B-Article,0.8337069267821607,0.8450704225352113,0.8648648648648649,0.7547169811320755,0.8701754385964913
B-Alinea,0.8388734464063358,0.84,0.8156028368794326,0.8571428571428571,0.8427480916030534
B-Liste,0.9073792982192546,0.9269311064718163,0.8608837970540099,0.9425287356321839,0.8991735537190083
B-Amendement,0.8106060606060606,0.6666666666666666,0.6666666666666666,1.0,0.9090909090909091
B-SousSection,0.7693149762115279,0.896551724137931,0.7619047619047619,0.9743589743589743,0.4444444444444444
