Label,Average,1,2,3,4
ALL,0.8048940959081957,0.8313332296760826,0.6786366436708099,0.8315661909200098,0.8780403193658803
B-Alinea,0.8755735849611833,0.8989298454221165,0.8262295081967214,0.8650137741046832,0.9121212121212121
B-Amendement,0.2222222222222222,0.0,0.0,0.0,0.8888888888888888
B-Article,0.9156984280439403,0.9139784946236559,0.9212827988338192,0.888235294117647,0.939297124600639
B-Chapitre,0.843396686159844,0.8421052631578947,0.8,0.8148148148148148,0.9166666666666666
B-Liste,0.9228973538378153,0.9658634538152611,0.864951768488746,0.9320843091334895,0.9286898839137645
B-Pied,0.9803818646884341,1.0,0.9927007299270073,0.951048951048951,0.9777777777777777
B-Section,0.9626596980255517,0.9714285714285714,1.0,0.9523809523809523,0.926829268292683
B-SousSection,0.6873500063155236,0.9655172413793104,0.14285714285714285,0.9743589743589743,0.6666666666666666
B-TOC,0.76875,1.0,0.2,1.0,0.875
B-Tete,0.9944388270980788,0.9922480620155039,1.0,0.9855072463768116,1.0
B-Titre,0.6804663836375588,0.5945945945945946,0.7169811320754716,0.7837837837837838,0.6265060240963856
