Label,Average,1,2,3,4
ALL,0.8583330086112924,0.8855924131385767,0.8414003136678467,0.8988758494752541,0.8074634581634917
B-Titre,0.7593484962300554,0.782608695652174,0.7692307692307693,0.8648648648648649,0.6206896551724138
B-Tete,0.9943019943019943,0.9846153846153847,1.0,0.9925925925925926,1.0
B-TOC,0.7781512605042016,0.8,0.9411764705882353,0.8,0.5714285714285714
B-Pied,0.9394185801348288,0.971830985915493,0.8943089430894309,0.9285714285714286,0.9629629629629629
B-Chapitre,0.891086691086691,0.9523809523809523,0.9230769230769231,0.8888888888888888,0.8
B-Section,0.9845706618962433,1.0,0.9615384615384616,1.0,0.9767441860465116
B-Article,0.8288131576968589,0.8856304985337243,0.8421052631578947,0.7243589743589743,0.8631578947368421
B-Alinea,0.8382793261522979,0.8455089820359282,0.8235294117647058,0.864406779661017,0.819672131147541
B-Liste,0.9150238774240884,0.9237029501525941,0.8822553897180763,0.9402298850574713,0.9139072847682119
B-Amendement,0.7439393939393939,0.6666666666666666,0.4,1.0,0.9090909090909091
B-SousSection,0.7687296553575624,0.9285714285714286,0.8181818181818182,0.8837209302325582,0.4444444444444444
