Label,Average,1,2,3,4
ALL,0.8860266208414296,0.9326088299111142,0.8561192503415375,0.8900976034312934,0.8652807996817736
B-Alinea,0.8636604018588243,0.8988505747126436,0.7849829351535836,0.8913963328631875,0.8794117647058823
B-Amendement,0.7915584415584416,0.8571428571428571,0.4,1.0,0.9090909090909091
B-Article,0.8826426506324235,0.9192200557103064,0.9084967320261438,0.8117647058823529,0.8910891089108911
B-Chapitre,0.959368530020704,0.9523809523809523,1.0,0.9285714285714286,0.9565217391304348
B-Liste,0.9318873682354201,0.9645390070921985,0.8858024691358025,0.9518348623853211,0.9253731343283582
B-Pied,0.9616535730691465,0.9722222222222222,0.9538461538461539,0.935251798561151,0.9852941176470589
B-Section,0.9886363636363636,1.0,1.0,1.0,0.9545454545454546
B-SousSection,0.8718304843304844,0.9629629629629629,0.8,0.9743589743589743,0.75
B-TOC,0.7641402714932127,1.0,0.9411764705882353,0.5,0.6153846153846154
B-Tete,0.9885834344263524,0.9922480620155039,0.993006993006993,0.9927007299270073,0.9763779527559056
B-Titre,0.7423313099943534,0.7391304347826086,0.75,0.8051948051948052,0.675
