Label,Average,1,2,3,4
ALL,0.8837007826052022,0.9116278431073017,0.8651412069736413,0.9157994826667377,0.8422345976731284
B-Alinea,0.8609733159180283,0.8765859284890427,0.8256227758007118,0.8781163434903048,0.863568215892054
B-Amendement,0.8333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0
B-Article,0.8825320521560215,0.9344729344729344,0.8655737704918033,0.8203592814371258,0.9097222222222222
B-Chapitre,0.9029377519032691,0.9090909090909091,0.8571428571428571,0.9655172413793104,0.88
B-Liste,0.9245869945880059,0.9412955465587044,0.8785942492012779,0.9291338582677166,0.9493243243243243
B-Pied,0.9321070234113712,0.9420289855072463,0.9076923076923077,0.9710144927536232,0.9076923076923077
B-Section,0.9950980392156863,1.0,0.9803921568627451,1.0,1.0
B-SousSection,0.8323716513371686,0.9655172413793104,0.8181818181818182,0.9743589743589743,0.5714285714285714
B-TOC,0.8391402714932127,1.0,0.9411764705882353,0.8,0.6153846153846154
B-Tete,0.994093761535622,0.9922480620155039,1.0,1.0,0.9841269841269841
B-Titre,0.7235344137655063,0.8,0.7755102040816326,0.7352941176470589,0.5833333333333334
