Label,Average,1,2,3,4
ALL,0.8821564303440517,0.8986594231022056,0.8396330161995504,0.9143928983220064,0.8759403837524438
B-Titre,0.7585060667340748,0.8372093023255814,0.6956521739130435,0.85,0.6511627906976745
B-Tete,0.9887967217951517,0.9922480620155039,0.9861111111111112,0.9927007299270073,0.9841269841269841
B-TOC,0.8160714285714286,1.0,0.75,0.8,0.7142857142857143
B-Pied,0.9394508155643686,0.9645390070921985,0.9206349206349206,0.9402985074626866,0.9323308270676691
B-Chapitre,0.888423645320197,0.9,0.8571428571428571,0.896551724137931,0.9
B-Section,0.9781512605042016,0.9714285714285714,0.9411764705882353,1.0,1.0
B-Article,0.8599318398588081,0.9005524861878453,0.8745980707395499,0.7818181818181819,0.8827586206896552
B-Alinea,0.8602264264597187,0.8631090487238979,0.8241563055062167,0.8913649025069638,0.8622754491017964
B-Liste,0.9201759599900492,0.9561671763506626,0.8626817447495961,0.9312288613303269,0.9306260575296108
B-Amendement,0.7817460317460317,0.5714285714285714,0.6666666666666666,1.0,0.8888888888888888
B-SousSection,0.9122405372405372,0.9285714285714286,0.8571428571428571,0.9743589743589743,0.8888888888888888
