Label,Average,1,2,3,4
ALL,0.9371517235715974,0.9241780569830266,0.9426669179743226,0.9324487187473672,0.9493132005816729
B-Alinea,0.8918233348956627,0.8639455782312925,0.9077380952380952,0.9358974358974359,0.8597122302158273
B-Amendement,0.8531746031746031,0.8571428571428571,1.0,0.6666666666666666,0.8888888888888888
B-Article,0.9256226291257394,0.9020979020979021,0.9584664536741214,0.930635838150289,0.9112903225806451
B-Chapitre,0.9593058733791,0.9473684210526315,0.9333333333333333,0.9565217391304348,1.0
B-Liste,0.9487490491926924,0.9640479360852197,0.9445983379501385,0.9609261939218524,0.9254237288135593
B-Pied,0.9914149017928011,1.0,0.9915966386554622,0.9827586206896551,0.991304347826087
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,0.9182692307692308,0.75,0.9230769230769231,1.0,1.0
B-Tete,0.9977064220183487,1.0,1.0,1.0,0.9908256880733946
B-Titre,0.8226029149393923,0.8813559322033898,0.7105263157894737,0.8235294117647058,0.875
