Label,Average,1,2,3,4
ALL,0.9563328338791407,0.9464164665833749,0.9374958158928393,0.9756298248006668,0.9657892282396818
B-Alinea,0.9025452118314155,0.9010654490106544,0.8990228013029316,0.9006849315068494,0.9094076655052264
B-Amendement,0.8809523809523809,0.8571428571428571,0.6666666666666666,1.0,1.0
B-Article,0.9481590766969539,0.9714285714285714,0.927536231884058,0.9784172661870504,0.9152542372881356
B-Chapitre,0.9852941176470589,1.0,1.0,1.0,0.9411764705882353
B-Liste,0.9296496222858515,0.8976109215017065,0.9442282749675746,0.9355828220858896,0.9411764705882353
B-Pied,0.9938008130081301,0.9833333333333333,1.0,0.991869918699187,1.0
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,1.0,1.0,1.0,1.0,1.0
B-Tete,1.0,1.0,1.0,1.0,1.0
B-Titre,0.8792599502487563,0.8,0.875,0.9253731343283582,0.9166666666666666
