Label,Average,1,2,3,4
ALL,0.9360123870070814,0.9332747343221424,0.9353821326162531,0.9405898902331579,0.9348027908567723
B-Alinea,0.8947872618568264,0.8908145580589255,0.9175412293853074,0.8927444794952681,0.8780487804878049
B-Amendement,0.9365079365079365,0.8571428571428571,1.0,1.0,0.8888888888888888
B-Article,0.9262923560438285,0.929368029739777,0.9570957095709571,0.8982035928143712,0.9205020920502092
B-Chapitre,0.9229166666666666,1.0,0.875,0.9166666666666666,0.9
B-Liste,0.9388592025447089,0.9575596816976127,0.9353507565337001,0.948905109489051,0.9136212624584718
B-Pied,0.984942259592358,0.9922480620155039,0.9649122807017544,0.991304347826087,0.991304347826087
B-Section,0.9823736780258518,1.0,1.0,0.9565217391304348,0.972972972972973
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,0.8958333333333334,0.75,0.8333333333333334,1.0,1.0
B-Tete,0.9932421363040629,1.0,1.0,0.9821428571428571,0.9908256880733946
B-Titre,0.8203814262023218,0.8888888888888888,0.8059701492537313,0.76,0.8266666666666667
