Label,Average,1,2,3,4
ALL,0.9445095761992631,0.9471264249395173,0.9229060839297667,0.9652282222897096,0.9427775736380589
B-Alinea,0.9052611333444075,0.9062980030721967,0.896124031007752,0.9141856392294221,0.9044368600682594
B-Amendement,0.8666666666666667,1.0,0.6666666666666666,1.0,0.8
B-Article,0.9332427016313728,0.9782608695652174,0.9048991354466859,0.9543859649122807,0.8954248366013072
B-Chapitre,0.9200831847890671,0.9090909090909091,0.8888888888888888,0.9411764705882353,0.9411764705882353
B-Liste,0.9365192449396857,0.9323843416370107,0.9479305740987984,0.9415384615384615,0.924223602484472
B-Pied,0.9744985074393598,0.921875,1.0,0.9838709677419355,0.9922480620155039
B-Section,0.9939024390243902,0.975609756097561,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,1.0,1.0,1.0,1.0,1.0
B-Tete,1.0,1.0,1.0,1.0,1.0
B-Titre,0.8594314603569447,0.7948717948717948,0.847457627118644,0.8823529411764706,0.9130434782608695
