Label,Average,1,2,3,4
ALL,0.8560032687393822,0.9219435526850539,0.8239784761466591,0.8623284593532486,0.8157625867725667
B-Titre,0.7158757613180274,0.8292682926829268,0.75,0.7272727272727273,0.5569620253164557
B-Tete,0.989009910952357,0.9846153846153847,0.993006993006993,0.9784172661870504,1.0
B-TOC,0.7412280701754386,1.0,0.6666666666666666,0.6666666666666666,0.631578947368421
B-Pied,0.9707935781369871,0.9787234042553191,0.9774436090225563,0.948905109489051,0.9781021897810219
B-Chapitre,0.9075369075369075,0.9090909090909091,0.9230769230769231,0.8888888888888888,0.9090909090909091
B-Section,0.961559781681733,1.0,0.9615384615384616,0.9090909090909091,0.975609756097561
B-Article,0.850744358705177,0.8690476190476191,0.8658536585365854,0.7886435331230284,0.8794326241134752
B-Alinea,0.7491549958738838,0.7302383939774153,0.75,0.7443946188340808,0.7719869706840391
B-Liste,0.9041185907386908,0.9118236472945892,0.8731466227347611,0.9144144144144144,0.9170896785109983
B-Amendement,0.8939393939393939,1.0,0.6666666666666666,1.0,0.9090909090909091
B-SousSection,0.7320746070746071,0.9285714285714286,0.6363636363636364,0.918918918918919,0.4444444444444444
