Label,Average,1,2,3,4
ALL,0.9167673548104497,0.9255547404516036,0.8790040785145117,0.9459850763146783,0.9165255239610052
B-Alinea,0.8969624826585081,0.906392694063927,0.8767605633802817,0.8904109589041096,0.9142857142857143
B-Amendement,0.8333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0
B-Article,0.9128830779401917,0.907103825136612,0.9538461538461539,0.8520710059171598,0.9385113268608414
B-Chapitre,0.9474637681159421,1.0,0.8333333333333334,1.0,0.9565217391304348
B-Liste,0.92725547036794,0.9477993858751279,0.8954758190327613,0.9429223744292238,0.922824302134647
B-Pied,0.980259093323107,0.9859154929577465,0.9850746268656716,0.9645390070921985,0.9855072463768116
B-Section,0.9950980392156863,1.0,0.9803921568627451,1.0,1.0
B-SousSection,0.8801406926406927,1.0,0.8181818181818182,0.9523809523809523,0.75
B-TOC,0.9375,1.0,0.875,1.0,0.875
B-Tete,0.994329028635598,0.9846153846153847,1.0,0.9927007299270073,1.0
B-Titre,0.7792159166839474,0.782608695652174,0.7843137254901961,0.8108108108108109,0.7391304347826086
