Label,Average,1,2,3,4
ALL,0.9003253253975589,0.9421143990522932,0.8912429385607645,0.9116421479345772,0.8563018160426008
B-Alinea,0.90947333322618,0.9236192714453584,0.903114186851211,0.9020689655172414,0.9090909090909091
B-Amendement,0.75,0.8571428571428571,0.5714285714285714,1.0,0.5714285714285714
B-Article,0.9287859019992205,0.9354838709677419,0.9702380952380952,0.8656716417910447,0.94375
B-Chapitre,0.8428571428571427,0.9523809523809523,0.8571428571428571,0.8,0.7619047619047619
B-Liste,0.9332469864982296,0.9678068410462777,0.8967642526964561,0.942242355605889,0.9261744966442953
B-Pied,0.980777390839956,0.9790209790209791,1.0,0.9659863945578231,0.9781021897810219
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,0.9711751662971175,1.0,0.9090909090909091,0.975609756097561,1.0
B-TOC,0.8638655462184874,1.0,0.9411764705882353,0.8,0.7142857142857143
B-Tete,0.9884246979856278,0.9922480620155039,1.0,0.9927007299270073,0.96875
B-Titre,0.7349724134511871,0.7555555555555555,0.7547169811320755,0.7837837837837838,0.6458333333333334
