Label,Average,1,2,3,4
ALL,0.8594714753299195,0.9012862636810145,0.8420150377050372,0.8914289001534633,0.803155699780163
B-Titre,0.7518630269468217,0.7727272727272727,0.8085106382978723,0.7671232876712328,0.6590909090909091
B-Tete,0.9807636807636808,0.9692307692307692,1.0,0.9696969696969697,0.9841269841269841
B-TOC,0.6240259740259739,0.8,0.7142857142857143,0.8,0.18181818181818182
B-Pied,0.9060965824683209,0.9640287769784173,0.9076923076923077,0.8571428571428571,0.8955223880597015
B-Chapitre,0.9054601312665829,0.9523809523809523,0.8571428571428571,0.9032258064516129,0.9090909090909091
B-Section,0.9755952380952382,1.0,1.0,0.95,0.9523809523809523
B-Article,0.888481443319122,0.9244186046511628,0.887459807073955,0.8323699421965318,0.9096774193548387
B-Alinea,0.8809811081316581,0.9030023094688222,0.9048473967684022,0.8559556786703602,0.8601190476190477
B-Liste,0.9381260033186756,0.9616935483870968,0.9107981220657277,0.9471264367816092,0.9328859060402684
B-Amendement,0.7595238095238095,0.6666666666666666,0.5714285714285714,1.0,0.8
B-SousSection,0.8432692307692308,1.0,0.7,0.9230769230769231,0.75
