Label,Average,1,2,3,4
ALL,0.7559410579423884,0.7444043765680445,0.7725215714344285,0.7434482542654933,0.7633900295015871
B-Titre,0.48837250867074367,0.4444444444444444,0.6792452830188679,0.34408602150537637,0.4857142857142857
B-Tete,0.99609375,0.984375,1.0,1.0,1.0
B-TOC,0.5689033189033189,0.4444444444444444,0.5714285714285714,0.5454545454545454,0.7142857142857143
B-Pied,0.9804434491819672,0.993006993006993,0.9714285714285714,0.971830985915493,0.9855072463768116
B-Chapitre,0.694288450655174,0.631578947368421,0.7692307692307693,0.7096774193548387,0.6666666666666666
B-Section,0.7992152774761471,0.7878787878787878,0.782608695652174,0.7692307692307693,0.8571428571428571
B-Article,0.8536210508520001,0.8319559228650137,0.8764705882352941,0.8123076923076923,0.89375
B-Alinea,0.7376067886630926,0.7032085561497327,0.7282051282051282,0.711764705882353,0.8072487644151565
B-Liste,0.7902009853935359,0.7723169508525577,0.7402376910016978,0.8112745098039216,0.8369747899159664
B-Amendement,0.7827380952380952,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.75
B-SousSection,0.6238679623321979,0.9285714285714286,0.5217391304347826,0.6451612903225806,0.4
