Label,Average,1,2,3,4
ALL,0.9198231105554766,0.9444247128779338,0.9086230883261431,0.9367432900840188,0.8895013509338103
B-Alinea,0.8748267250705832,0.9156908665105387,0.8336134453781513,0.8624113475177305,0.8875912408759125
B-Amendement,0.9007936507936507,0.8571428571428571,0.8571428571428571,0.8888888888888888,1.0
B-Article,0.9301629356331583,0.9193548387096774,0.9820359281437125,0.8746355685131195,0.9446254071661238
B-Chapitre,0.9294299450549451,1.0,0.9230769230769231,0.9375,0.8571428571428571
B-Liste,0.9193178004094074,0.9656565656565657,0.8589951377633711,0.9367945823927766,0.9158249158249159
B-Pied,0.9912084318559139,0.993006993006993,1.0,0.9790209790209791,0.9928057553956835
B-Section,0.9890004782400765,1.0,0.9803921568627451,1.0,0.975609756097561
B-SousSection,0.9138098464317976,0.9629629629629629,0.9166666666666666,0.975609756097561,0.8
B-TOC,0.9138655462184875,1.0,0.9411764705882353,1.0,0.7142857142857143
B-Tete,0.998062015503876,0.9922480620155039,1.0,1.0,1.0
B-Titre,0.7575768408983456,0.782608695652174,0.7017543859649122,0.8493150684931506,0.6966292134831461
