Label,Average,1,2,3,4
ALL,0.9715595140089285,0.9789614046067261,0.9642866417933877,0.9887755464821298,0.95421446315347
B-Alinea,0.9249260006098668,0.927246790299572,0.9172413793103448,0.9597523219814241,0.8954635108481263
B-Article,0.9648204938802272,0.9580838323353293,0.9505882352941176,0.9967637540453075,0.9538461538461539
B-Chapitre,0.9772727272727273,1.0,1.0,1.0,0.9090909090909091
B-Liste,0.9651907040291021,0.9673758865248226,0.9580838323353293,0.9838709677419355,0.9514321295143213
B-Pied,0.9982014388489209,1.0,1.0,1.0,0.9928057553956835
B-Section,0.9952830188679245,1.0,0.9811320754716981,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,1.0,1.0,1.0,1.0,1.0
B-Tete,0.9978632478632479,0.9914529914529915,1.0,1.0,1.0
B-Titre,0.8920375087172678,0.9454545454545454,0.835820895522388,0.9473684210526315,0.8395061728395061
