Label,Average,1,2,3,4
ALL,0.9532497147006171,0.925507232817301,0.9547904643241844,0.9792120756976602,0.9534890859633229
B-Alinea,0.9234655884498151,0.9262820512820513,0.8972267536704731,0.9228070175438596,0.9475465313028765
B-Amendement,0.8666666666666667,0.6666666666666666,0.8,1.0,1.0
B-Article,0.957936067491908,0.9436619718309859,0.93125,0.9785714285714285,0.9782608695652174
B-Chapitre,0.9375,1.0,1.0,1.0,0.75
B-Liste,0.9580323114645488,0.9701230228471002,0.9561855670103093,0.9588607594936709,0.9469598965071151
B-Pied,1.0,1.0,1.0,1.0,1.0
B-Section,0.9878048780487805,0.975609756097561,1.0,0.975609756097561,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,0.9772727272727273,1.0,1.0,1.0,0.9090909090909091
B-Tete,0.9954545454545455,0.9818181818181818,1.0,1.0,1.0
B-Titre,0.881614076857796,0.7164179104477612,0.9180327868852459,0.9354838709677419,0.9565217391304348
