Label,Average,1,2,3,4
ALL,0.3567469852552324,0.34279951345580906,0.35144332175701554,0.34639464482964843,0.38635046097845643
B-Alinea,0.02950832230831827,0.01846153846153846,0.04918032786885246,0.0182370820668693,0.03215434083601287
B-Amendement,0.0,0.0,0.0,0.0,0.0
B-Article,0.0024630541871921187,0.0,0.009852216748768475,0.0,0.0
B-Chapitre,0.7551169590643275,0.8,0.631578947368421,0.7,0.888888888888889
B-Liste,0.0,0.0,0.0,0.0,0.0
B-Pied,0.9840692807420811,0.9841269841269841,0.9739130434782608,0.9921259842519685,0.9861111111111112
B-Section,0.0,0.0,0.0,0.0,0.0
B-SousSection,0.0,0.0,0.0,0.0,0.0
B-TOC,0.95,0.8,1.0,1.0,1.0
B-Tete,0.9917829684724179,0.9917355371900827,0.9908256880733944,0.991869918699187,0.9927007299270074
B-Titre,0.211276253033219,0.17647058823529413,0.2105263157894737,0.10810810810810813,0.35000000000000003
