Label,Average,1,2,3,4
ALL,0.3377619831132475,0.3106360741838708,0.30002825738119854,0.3535586293152159,0.38682497157270473
B-Alinea,0.015325789474782942,0.005665722379603399,0.0,0.03389830508474576,0.021739130434782605
B-Amendement,0.0,0.0,0.0,0.0,0.0
B-Article,0.0,0.0,0.0,0.0,0.0
B-Chapitre,0.729305200341006,0.6956521739130435,0.5882352941176471,0.8,0.8333333333333334
B-Liste,0.0,0.0,0.0,0.0,0.0
B-Pied,0.9876190225027434,0.9922480620155039,0.972972972972973,0.9922480620155039,0.993006993006993
B-Section,0.08823529411764706,0.0,0.0,0.0,0.35294117647058826
B-SousSection,0.0,0.0,0.0,0.0,0.0
B-TOC,0.795138888888889,0.6666666666666666,0.6250000000000001,0.888888888888889,1.0
B-Tete,0.9850576018847083,0.9922480620155039,0.9807692307692307,0.9672131147540983,1.0
B-Titre,0.11470001703594584,0.06451612903225806,0.13333333333333333,0.20689655172413793,0.05405405405405406
