Label,Average,1,2,3,4
ALL,0.9080956745889464,0.914308198414806,0.8580740820561846,0.9320887729729365,0.9279116449118583
B-Alinea,0.8155105479691875,0.822857142857143,0.7994791666666666,0.8161764705882352,0.8235294117647058
B-Amendement,0.9365079365079365,1.0,0.888888888888889,0.8571428571428571,1.0
B-Article,0.9465216174872952,0.981132075471698,0.8951406649616369,0.9435215946843853,0.9662921348314607
B-Chapitre,0.9233893557422969,0.9411764705882353,0.9523809523809523,0.9,0.9
B-Liste,0.935116426093887,0.9206349206349207,0.9181969949916527,0.9639175257731959,0.9377162629757786
B-Pied,0.998062015503876,1.0,1.0,0.9922480620155039,1.0
B-Section,0.9890840056953014,0.9795918367346939,1.0,0.9767441860465117,1.0
B-SousSection,0.942741935483871,0.9032258064516129,1.0,0.9,0.967741935483871
B-TOC,0.6934523809523809,0.6666666666666666,0.25,1.0,0.8571428571428571
B-Tete,0.9935455528521222,1.0,0.9814814814814815,1.0,0.9927007299270074
B-Titre,0.8151206461902557,0.8421052631578947,0.7532467532467532,0.9032258064516129,0.7619047619047619
