Label,Average,1,2,3,4
ALL,0.9388795735367428,0.935195521193679,0.9242779994606934,0.9392792339863366,0.9567655395062623
B-Alinea,0.9163350064319299,0.9330985915492958,0.9031505250875146,0.9090909090909091,0.9199999999999999
B-Amendement,0.9142857142857144,1.0,0.8000000000000002,0.8571428571428571,1.0
B-Article,0.9530739700465488,0.9701492537313432,0.9104859335038363,0.9612903225806452,0.9703703703703703
B-Chapitre,0.898389355742297,0.9411764705882353,0.9523809523809523,0.8000000000000002,0.9
B-Liste,0.9488452374560763,0.9012485811577753,0.9665551839464883,0.9717948717948718,0.95578231292517
B-Pied,0.9980314960629921,0.9921259842519685,1.0,1.0,1.0
B-Section,0.9839024390243902,0.96,1.0,0.975609756097561,1.0
B-SousSection,0.940596198156682,0.9375,0.8571428571428571,1.0,0.967741935483871
B-TOC,0.9333333333333333,0.8,1.0,1.0,0.9333333333333333
B-Tete,0.9977064220183486,1.0,0.9908256880733944,1.0,1.0
B-Titre,0.8431761363458585,0.851851851851852,0.7865168539325844,0.8571428571428572,0.8771929824561403
