Label,Average,1,2,3,4
ALL,0.9393703287217245,0.9551326549080691,0.9343592288274875,0.9562749111727303,0.9117145199786113
B-Alinea,0.9248461402592096,0.900976290097629,0.91,0.9664429530201343,0.9219653179190751
B-Amendement,0.9272727272727272,1.0,0.9090909090909091,1.0,0.8
B-Article,0.9565833336371581,0.9714285714285714,0.9081081081081082,0.9858356940509915,0.960960960960961
B-Chapitre,0.8454131652661064,0.9166666666666666,0.9411764705882353,0.8571428571428571,0.6666666666666666
B-Liste,0.9487842913520242,0.9417249417249417,0.9401993355481728,0.9790628115653041,0.9341500765696784
B-Pied,0.9908397754950757,0.9774436090225563,1.0,0.9859154929577465,1.0
B-Section,0.989342403628118,0.9777777777777777,1.0,0.9795918367346939,1.0
B-SousSection,0.9405193236714976,1.0,0.8888888888888888,0.9565217391304348,0.9166666666666666
B-TOC,1.0,1.0,1.0,1.0,1.0
B-Tete,0.9962192279265449,0.991869918699187,1.0,1.0,0.993006993006993
B-Titre,0.8132532274305083,0.8285714285714286,0.7804878048780488,0.8085106382978723,0.8354430379746836
