Label,Average,1,2,3,4
ALL,0.9066820106468276,0.9013909709445712,0.8931311261949648,0.8995777083372555,0.9326282371105191
B-Alinea,0.7756641203093573,0.7459807073954984,0.7665706051873198,0.8007246376811594,0.7893805309734514
B-Amendement,0.7738095238095238,1.0,0.5714285714285715,0.6666666666666666,0.8571428571428571
B-Article,0.875391407222486,0.9271523178807947,0.81524926686217,0.8376623376623376,0.9215017064846416
B-Chapitre,0.9182971014492753,1.0,0.9565217391304348,0.8000000000000002,0.9166666666666666
B-Liste,0.9265061802007725,0.9022556390977442,0.9204052098408104,0.9483793517406962,0.934984520123839
B-Pied,0.9905093771415279,0.9927007299270074,0.9767441860465116,0.9925925925925926,1.0
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,0.9701754385964912,0.9333333333333333,1.0,0.9473684210526316,1.0
B-TOC,0.90625,0.75,1.0,1.0,0.875
B-Tete,0.9903274231008894,0.9763779527559054,0.9921259842519685,1.0,0.9928057553956835
B-Titre,0.8465715452847806,0.6875,0.8253968253968255,0.9019607843137256,0.9714285714285714
