Label,Average,1,2,3,4
ALL,0.903071690860187,0.9028692864613013,0.8583653025353283,0.8842962423530705,0.9667559320910478
B-Alinea,0.7675906493353424,0.7662957074721781,0.7031509121061361,0.738255033557047,0.8626609442060086
B-Amendement,0.9642857142857143,1.0,0.8571428571428571,1.0,1.0
B-Article,0.8725117100208756,0.8856304985337243,0.7957746478873239,0.8316831683168316,0.9769585253456222
B-Chapitre,0.9060166886253842,0.9090909090909091,0.8695652173913043,0.888888888888889,0.9565217391304348
B-Liste,0.9297273491531354,0.9048275862068966,0.8848080133555926,0.9736842105263157,0.9555895865237366
B-Pied,0.9919573863929027,1.0,0.9824561403508771,0.9923664122137404,0.993006993006993
B-Section,0.9880952380952381,1.0,1.0,0.9523809523809523,1.0
B-SousSection,0.94,0.8,1.0,1.0,0.9600000000000001
B-TOC,0.7705357142857143,0.8571428571428571,0.6250000000000001,0.6,1.0
B-Tete,0.9907804621058177,0.9922480620155039,0.970873786407767,1.0,1.0
B-Titre,0.8122876871619327,0.8163265306122449,0.7532467532467533,0.7499999999999999,0.9295774647887323
