Label,Average,1,2,3,4
ALL,0.9156478182223309,0.9055494338616256,0.8735435638874133,0.9164491496601634,0.9670491254801212
B-Alinea,0.8056703592932412,0.7901234567901233,0.7592891760904685,0.8038897893030794,0.8693790149892934
B-Amendement,0.8923076923076922,1.0,0.7692307692307693,0.8,1.0
B-Article,0.9446963975863464,0.9116809116809117,0.901840490797546,0.988095238095238,0.9771689497716896
B-Chapitre,0.9193946150467889,0.9090909090909091,0.923076923076923,0.888888888888889,0.9565217391304348
B-Liste,0.9392630959072331,0.9090909090909091,0.9038785834738617,0.991556091676719,0.9525267993874427
B-Pied,0.9956140350877193,1.0,0.9824561403508771,1.0,1.0
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,0.94,0.8,1.0,1.0,0.9600000000000001
B-TOC,0.8205357142857144,0.8571428571428571,0.6250000000000001,0.8000000000000002,1.0
B-Tete,0.9888720651592529,0.9922480620155039,0.970873786407767,1.0,0.9923664122137404
B-Titre,0.8257720257716512,0.7916666666666667,0.7733333333333333,0.8085106382978724,0.9295774647887323
