Label,Average,1,2,3,4
ALL,0.9274797863507033,0.9407300060708429,0.907069842053092,0.9228734729738239,0.9392458243050545
B-Alinea,0.9146877966827847,0.9348769898697541,0.8653555219364598,0.924924924924925,0.9335937499999999
B-Amendement,0.9285714285714286,1.0,0.8571428571428571,1.0,0.8571428571428571
B-Article,0.962872827974291,0.9428571428571428,0.9386503067484663,0.9881656804733727,0.9818181818181818
B-Chapitre,0.8428853754940713,0.9565217391304348,0.8695652173913043,0.7272727272727273,0.8181818181818182
B-Liste,0.9377479966611597,0.9374130737134909,0.915702479338843,0.9670588235294117,0.9308176100628931
B-Pied,0.9982517482517482,1.0,1.0,1.0,0.993006993006993
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,0.95875,0.8750000000000001,1.0,1.0,0.9600000000000001
B-TOC,0.8517857142857144,0.8571428571428571,0.75,0.8000000000000002,1.0
B-Tete,0.9957551544553043,0.9923664122137404,0.9906542056074767,1.0,1.0
B-Titre,0.8109696074812354,0.8518518518518519,0.7906976744186046,0.7441860465116279,0.8571428571428571
