Label,Average,1,2,3,4
ALL,0.9229256759001556,0.9403736992085121,0.8758533740280554,0.9278137904213981,0.9476618399426567
B-Alinea,0.9170181370214117,0.94,0.8832335329341318,0.9151515151515152,0.9296874999999999
B-Amendement,0.9642857142857143,1.0,0.8571428571428571,1.0,1.0
B-Article,0.9615916291161443,0.9348441926345609,0.9415384615384615,0.9881656804733727,0.9818181818181818
B-Chapitre,0.8211462450592886,0.9565217391304348,0.7826086956521738,0.7272727272727273,0.8181818181818182
B-Liste,0.9342084852871181,0.9504132231404958,0.9259259259259259,0.9309173272933183,0.9295774647887324
B-Pied,0.9959994959994959,1.0,0.9909909909909909,1.0,0.993006993006993
B-Section,0.9772321428571429,1.0,0.9375,1.0,0.9714285714285714
B-SousSection,0.95875,0.8750000000000001,1.0,1.0,0.9600000000000001
B-TOC,0.8427579365079365,0.8571428571428571,0.6250000000000001,0.888888888888889,1.0
B-Tete,0.9951923076923077,1.0,0.9807692307692307,1.0,1.0
B-Titre,0.7840003410751513,0.830188679245283,0.7096774193548386,0.7555555555555556,0.8405797101449276
