Label,Average,1,2,3,4
ALL,0.9279733318627233,0.90991154028457,0.9094278351040951,0.9333184070316246,0.9592355450306038
B-Alinea,0.914515454528736,0.8941504178272981,0.8833819241982508,0.9526542324246773,0.9278752436647174
B-Amendement,0.9065934065934066,1.0,0.7692307692307693,1.0,0.8571428571428571
B-Article,0.9492181838764345,0.9136490250696379,0.925,0.9852507374631269,0.9729729729729731
B-Chapitre,0.8677018633540372,0.8571428571428571,0.8571428571428571,0.8,0.9565217391304348
B-Liste,0.9464640751789173,0.9299719887955182,0.912106135986733,0.9834123222748815,0.9603658536585367
B-Pied,1.0,1.0,1.0,1.0,1.0
B-Section,0.9699496682681308,0.9787234042553191,0.967741935483871,0.9333333333333333,1.0
B-SousSection,0.9466230936819173,0.823529411764706,1.0,0.962962962962963,1.0
B-TOC,0.9052579365079365,0.8571428571428571,0.8750000000000001,0.888888888888889,1.0
B-Tete,0.9951923076923077,1.0,0.9807692307692307,1.0,1.0
B-Titre,0.8061906608081331,0.7547169811320756,0.8333333333333334,0.76,0.8767123287671232
