Label,Average,1,2,3,4
ALL,0.9728621721437589,0.9752062936265107,0.9608286256727212,0.9949039744160194,0.9605097948597843
B-Alinea,0.9214139272032424,0.9219219219219219,0.8947976878612717,0.9795918367346939,0.889344262295082
B-Article,0.957293705968484,0.9329446064139941,0.9463414634146341,0.9967637540453075,0.953125
B-Chapitre,0.9880952380952381,1.0,1.0,1.0,0.9523809523809523
B-Liste,0.9653850876133857,0.9827089337175793,0.9469790382244143,0.990228013029316,0.9416243654822335
B-Pied,0.9962014388489209,0.992,1.0,1.0,0.9928057553956835
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,1.0,1.0,1.0,1.0,1.0
B-Tete,0.9939375900088653,0.9914529914529915,0.9915966386554622,1.0,0.9927007299270073
B-Titre,0.9062947336994523,0.9310344827586207,0.8285714285714286,0.9824561403508771,0.8831168831168831
