Label,Average,1,2,3,4
ALL,0.972260740745719,0.9748225786195382,0.9530002051045365,0.9963381293118925,0.9648820499469085
B-Alinea,0.9233681891384323,0.9041916167664671,0.9002320185614849,0.9747634069400631,0.9142857142857143
B-Article,0.9608629603673102,0.9367816091954023,0.9535452322738386,1.0,0.953125
B-Chapitre,0.9880952380952381,1.0,1.0,1.0,0.9523809523809523
B-Liste,0.9664643461085001,0.9842180774748924,0.947109471094711,0.9886178861788618,0.9459119496855346
B-Pied,0.998,0.992,1.0,1.0,1.0
B-Section,1.0,1.0,1.0,1.0,1.0
B-SousSection,1.0,1.0,1.0,1.0,1.0
B-TOC,0.9772727272727273,1.0,0.9090909090909091,1.0,1.0
B-Tete,0.9978632478632479,1.0,0.9914529914529915,1.0,1.0
B-Titre,0.9106806986117331,0.9310344827586207,0.8285714285714286,1.0,0.8831168831168831
